"","X.1","X","name","chamber","party","state","district","trump_score","trump_margin","predicted_score","trump_plus_minus"
"130",130,130,"Marc A. Veasey","House"," D","TX","33",0.152,-0.492,0.127,0.024
"131",131,131,"Gregg Harper","House"," R","MS","3",1,0.245,0.976,0.024
"132",132,132,"Patrick T. McHenry","House"," R","NC","10",1,0.245,0.976,0.024
"133",133,133,"Eric Swalwell","House"," D","CA","15",0.156,-0.457,0.132,0.024
"134",134,134,"Richard Hudson","House"," R","NC","8",0.963,0.15,0.939,0.024
"135",135,135,"John R. Moolenaar","House"," R","MI","4",1,0.248,0.976,0.024
"136",136,136,"Ted S. Yoho","House"," R","FL","3",0.969,0.16,0.945,0.024
"137",137,137,"Michael K. Simpson","House"," R","ID","2",1,0.247,0.977,0.023
"138",138,138,"Brad R. Wenstrup","House"," R","OH","2",0.97,0.161,0.947,0.023
"139",139,139,"Trey Gowdy","House"," R","SC","4",1,0.257,0.977,0.023
"140",140,140,"Daniel M. Donovan Jr.","House"," R","NY","11",0.909,0.098,0.886,0.023
"141",141,141,"Mike Kelly","House"," R","PA","3",1,0.261,0.977,0.023
"142",142,142,"C. A. Dutch Ruppersberger","House"," D","MD","2",0.212,-0.246,0.19,0.022
"143",143,143,"Harold Rogers","House"," R","KY","5",1,0.621,0.978,0.022
"144",144,144,"Michael C. Burgess","House"," R","TX","26",1,0.265,0.978,0.022
"145",145,145,"John H. Rutherford","House"," R","FL","4",1,0.28,0.978,0.022
"146",146,146,"Dwight Evans","House"," D","PA","2",0.125,-0.828,0.103,0.022
"147",147,147,"Frank A. LoBiondo","House"," R","NJ","2",0.818,0.046,0.797,0.022
"148",148,148,"Robert B. Aderholt","House"," R","AL","4",1,0.63,0.978,0.022
"149",149,149,"Mac Thornberry","House"," R","TX","13",1,0.63,0.978,0.022
"150",150,150,"Jim Cooper","House"," D","TN","5",0.273,-0.184,0.251,0.021
"151",151,151,"Thomas J. Rooney","House"," R","FL","17",1,0.272,0.979,0.021
"152",152,152,"K. Michael Conaway","House"," R","TX","11",1,0.587,0.979,0.021
"153",153,153,"Doug Collins","House"," R","GA","9",1,0.585,0.979,0.021
"154",154,154,"Robert J. Wittman","House"," R","VA","1",0.938,0.124,0.917,0.021
"155",155,155,"Tom Graves","House"," R","GA","14",1,0.529,0.98,0.02
"156",156,156,"Kay Granger","House"," R","TX","12",1,0.302,0.98,0.02
"157",157,157,"Jeb Hensarling","House"," R","TX","5",1,0.284,0.98,0.02
"158",158,158,"Adrian Smith","House"," R","NE","3",1,0.549,0.98,0.02
"159",159,159,"Glenn Thompson","House"," R","PA","5",1,0.288,0.98,0.02
"160",160,160,"Austin Scott","House"," R","GA","8",1,0.289,0.98,0.02
"161",161,161,"Frank D. Lucas","House"," R","OK","3",1,0.527,0.98,0.02
"162",162,162,"Bradley Byrne","House"," R","AL","1",1,0.294,0.98,0.02
"163",163,163,"Doris O. Matsui","House"," D","CA","6",0.152,-0.448,0.132,0.019
"164",164,164,"Evan H. Jenkins","House"," R","WV","3",1,0.492,0.981,0.019
"165",165,165,"Kevin Brady","House"," R","TX","8",1,0.488,0.981,0.019
"166",166,166,"James Comer","House"," R","KY","1",1,0.485,0.981,0.019
"167",167,167,"Steve Scalise","House"," R","LA","1",1,0.42,0.981,0.019
"168",168,168,"John Shimkus","House"," R","IL","15",1,0.462,0.981,0.019
"169",169,169,"Ro Khanna","House"," D","CA","17",0.125,-0.534,0.106,0.019
